recipe_id,source_id
102830219,1977
102851090,2238
102851090,1807
102851090,2073
102846787,846
102846787,2438
102839309,5384
102839309,394
102839309,1805
102839263,394
102839263,1001
102839263,1805
102839263,1574
102340143,1101
102313191,1128
102306871,2238
102306871,1869
102306871,1869
102292087,1668
102252626,1478
102252626,1137
102846877,1481
102846877,1304
102846877,2002
102846877,1805
102846877,2362
102846877,1525
102846877,1574
102846877,1925
102846877,2438
102846877,1792
102846125,5327
102846125,2316
102846125,197
102846125,2068
102846125,1869
102835793,394
102835793,1137
102835793,727
102835793,5263
102835793,1805
102835793,1574
102835793,1740
102831985,256
102831985,1423
102831985,1820
102831985,2438
102828186,957
102828186,2448
102828186,2269
102828186,2002
102828186,1792
102828186,1525
102828186,1805
102828186,1574
102828186,2399
102828186,2394
102826534,1792
102826534,1805
102826534,1616
102818590,501
102818590,394
102818590,1001
102818590,2269
102818590,1805
102818590,2362
102818590,2438
102818590,1792
102812712,2068
102812712,1520
102812712,5257
102812712,455
102812712,1869
102812712,1530
102812712,1950
102809052,747
102809052,2238
102809052,2073
102809052,1792
102809052,2438
102806848,1263
102806848,1383
102806848,468
102806848,1137
102806848,2002
102806848,648
102806848,727
102806848,394
102806848,2438
102806848,1740
102806848,1805
102806848,2362
102806848,1574
102806848,1859
102806848,1525
102805763,2455
102805763,2448
102805763,2269
102805763,1158
102805763,1805
102805763,2409
102805714,7
102805714,1263
102805714,1137
102805714,2269
102805714,2448
102805714,1805
102805714,1574
102805714,1616
102805714,662
102805714,449
102805714,1859
102805714,1525
102803110,177
102803110,1137
102803110,394
102803110,2002
102803110,1805
102803110,1574
102803110,2362
102803110,5257
102803110,2438
102825330,1945
102825330,5257
102825330,2438
102785664,1299
102785664,2269
102785664,2004
102785664,2028
102785664,1391
102785664,2448
102785664,1668
102309540,469
102309540,5194
102309540,5228
102309540,1945
102309540,1792
102309540,2399
102309540,1925
102258703,1304
102258703,2002
102258703,2419
102258703,1792
102258703,2409
102258703,1805
102258703,2399
102242847,1304
102242847,1925
102242847,2399
102242847,394
102242847,2005
102242847,2448
102242847,1792
102241950,1509
102241950,2399
102241950,2073
102241950,1925
102241950,2269
102241950,1792
102241950,468
102241950,2409
102241081,275
102241081,2351
102241081,2005
102241081,1708
102241081,1875
102241081,2405
102241081,2143
102241081,2291
102241081,1552
102241081,2448
102241081,2362
102241081,2406
102241081,5298
102241081,1820
102241081,1805
102241081,2399
102241081,2389
102241081,2110
101894820,1304
101894820,469
101894820,468
101894820,881
101894820,1463
101894820,787
101894820,662
101894820,449
101894820,725
101894820,206
101894820,2028
101894820,2394
101894221,1945
101893931,5257
101893931,2068
102827699,747
102398229,1756
102398229,1582
102322313,1364
102322313,1805
102322313,2409
102322313,1792
102814399,5344
102814399,2438
102814399,2068
102814399,1805
102814399,2054
102814399,1899
102814399,2039
102814399,975
102814399,688
102290731,2337
102282314,2337
102282314,1792
102278281,1296
102278281,2337
102278281,2399
102278281,1525
102278281,2123
102259593,3119
102259593,5380
102259593,2337
102257777,1230
102257777,1296
102257777,1805
102257777,1826
102256851,2337
102256851,111
102256851,468
102256851,5333
102256851,1779
102256851,1525
102247673,2337
102247673,1739
102247673,1779
102247673,1525
102244858,4359
102244858,2409
102244858,1805
102244858,1826
102244858,2127
102230059,1509
102230059,1296
102230059,918
102230059,1859
102230059,1779
102226128,206
102214352,700
102214352,394
102214352,2316
102214352,1805
102214352,2054
102214352,1899
102214352,2039
102214352,975
102207993,657
102207993,1445
102207993,394
102207993,2127
102178901,1150
102178901,731
102178901,1805
102178901,2448
102178901,2002
102178901,1792
102178901,1779
102178901,1525
102178901,2399
102178901,2409
102171674,727
102171674,2438
102171674,394
102171674,468
102850101,692
102850101,731
102850101,208
102850101,1779
102850101,2054
102850101,394
102850101,2127
102850101,1805
102845064,700
102845064,1871
102845064,2316
102845064,2054
102845064,394
102845064,1805
102845064,1520
102845064,2068
102845064,5223
102845064,5314
102845064,1645
102843925,5162
102843925,1933
102843925,1779
102843925,1925
102843925,1805
102825712,2238
102825712,2103
102825712,1807
102825712,1740
102814455,1299
102814455,2110
102810810,394
102810810,1582
102810810,2054
102810810,1792
102810810,5296
102810810,2054
102805746,501
102805746,1481
102785314,235
102785314,227
102785314,2362
102749293,1807
102749293,394
102749293,2073
102749293,1740
102340592,5394
102340592,2269
102340592,394
102340592,2127
102321935,2316
102321935,5205
102321935,2257
102321935,2054
102302321,80
102302321,1805
102302321,2362
102302321,1680
102302321,2275
102302321,2127
102302321,2406
102297018,443
102297018,1828
102297018,2127
102292276,208
102292276,1215
102292276,468
102292276,2275
102292276,1526
102289025,727
102289025,394
102289025,918
102289025,2438
102289025,1805
102289025,2362
102845680,5387
102845680,394
102845680,1355
102845680,2002
102845680,1836
102845680,1805
102845680,1560
102845680,2157
102833107,394
102833107,1805
102827821,5387
102827821,1543
102827821,1215
102827821,2452
102819296,5252
102819296,1739
102819296,1137
102819296,2127
102819296,2028
102819296,2448
102819296,4088
102819296,1869
102819296,2151
102819296,2399
102819296,2362
102819296,2406
102819296,1925
102812612,468
102812612,998
102812612,1049
102812612,206
102812612,790
102812612,1478
102812612,1001
102812612,1137
102812612,2127
102812612,5450
102812612,1805
102812612,2269
102809819,394
102809819,5305
102809819,2127
102809819,1137
102809819,5387
102809819,1805
102809819,1792
102809819,2452
102774258,394
102774258,5387
102774258,1364
102774258,1370
102774258,2127
102774258,1805
102339916,1509
102339916,5387
102339916,394
102339916,1001
102339916,1805
102339916,1560
102339916,2409
102339916,2039
102329439,1364
102329439,1137
102329439,5305
102329439,975
102329439,2039
102329439,2452
102328969,98
102328969,1871
102328969,1820
102328969,1559
102311316,5318
102311316,2127
102311316,394
102311316,1950
102311316,5344
102311316,1805
102311316,2409
102311316,2399
102311316,2217
102311316,1826
102311316,1836
102847095,206
102847095,727
102843938,1709
102843938,394
102843938,2073
102843938,1899
102843938,2316
102843938,1282
